period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-09-13,169,150.31918905585476,0.3225344556340224,23.795573331148688,67.25225601749881
2020-09-14,269,156.82339841707932,6.843648221521109,24.47387056240035,64.34680606343503
2020-09-15,272,152.35538158416747,2.3918344860288063,21.210728693180698,66.2520618175181
2020-09-16,244,148.85093535126234,-1.0966447184299637,16.008094594172732,64.54135339479922
2020-09-17,233,155.15476974028886,5.2236150423147585,24.51791223684566,67.61281207621762
2020-09-18,201,129.9146195748552,-20.00005547225421,-1.6100521186817787,70.60711255101971
2020-09-19,233,139.64518141848848,-10.254489544636565,9.513372754614153,70.40329516775283
2020-09-20,270,149.6412153116862,-0.24080087857883542,17.3810722472966,65.9925748153073
2020-09-21,286,154.54476576585037,4.677853126027402,20.979375672477886,63.23874544082084
2020-09-22,243,139.44261547449685,-10.408577216344309,8.91703608692248,62.94261623463961
2020-09-23,183,135.54541991186923,-14.288325422177758,13.496979890304004,73.57557086198702
2020-09-24,271,149.61220387814228,-0.20712104177024093,8.95038240411452,81.22716884758385
2020-09-25,197,138.86718754647347,-10.935550016879697,3.085421617740792,67.93497841969798
2020-09-26,255,157.74672242407703,7.959121305825984,23.352339754564895,63.00305170494382
2020-09-27,303,148.9164816777698,-0.8541465725306843,10.95366758853109,59.47564226460111
2020-09-28,229,164.98908835331946,15.233348905988635,20.12006832213038,59.726055956417675
2020-09-29,252,132.49984941028413,-17.23835034110295,-4.369081475704846,73.38835746199045
2020-09-30,277,150.27751403147562,0.5556391340548313,21.453889145936103,68.13530748153448
2020-10-01,265,153.71218221412514,4.005510013303209,20.815417900869278,69.97437553950583
2020-10-02,49,173.55374631297832,23.86236422545846,31.950586477176273,56.97416876879019
2020-10-03,294,146.8793248702069,-2.795455033348333,11.37996273343417,63.945987914062655
2020-10-04,240,162.23200669606527,12.573531769731604,24.786762736976343,60.41933223615343
2020-10-05,245,125.1864399688098,-24.455886592977055,-4.598627772867474,70.59125839660723
2020-10-06,277,157.57533278482484,7.948464996758032,18.93829109106028,66.17811767625552
2020-10-07,283,142.51328104511168,-7.097023806607575,4.588093024251492,68.99336081617749
2020-10-08,279,162.71473785728537,13.12055070839533,24.85203341301863,58.15029585897512
2020-10-09,274,157.17361341044852,7.59565956297234,19.972231654702767,63.801682076045225
2020-10-10,246,147.43891409276947,-2.123565728180874,15.077440782572097,68.5075731317653
2020-10-11,240,149.21380898793538,-0.3321985597532289,6.937904278749642,64.33568775093475
2020-10-12,263,166.0254797757805,16.49509977713707,30.15101494822136,70.60645442908005
2020-10-13,280,153.32492113385882,3.8111362774568875,14.80891609792242,59.6045122512776
2020-10-14,235,158.12423747610538,8.623881832759551,19.063289593765546,69.05766475690531
2020-10-15,0,,,,
2020-10-16,210,154.06228454589842,4.5959929520665606,17.14848925235961,61.05893822993802
2020-10-17,247,148.9158181997446,-0.5350838377707096,6.056414378270006,62.92749953616109
2020-10-18,283,153.54883132772818,4.115671963489747,17.17865707443471,61.82745454906153
2020-10-19,279,153.77611755589857,4.358766981180023,14.579258274615341,66.8004111586103
2020-10-20,260,147.55381392258866,-1.8472450897539083,9.044585351690529,63.84952334309181
2020-10-21,269,144.82246277536157,-4.5622309284950475,6.122181345655179,64.25615523514765
2020-10-22,296,143.78996461404338,-5.578845304762878,6.452117901749062,70.72196963666401
2020-10-23,251,150.64502961056166,1.2918006209711428,9.406278977417998,61.88094317083219
2020-10-24,254,149.12041366456998,-0.2175597553148967,9.42669941446772,70.90373158382484
2020-10-25,238,134.61686387262424,-14.705615167174406,-4.2743822367860105,61.293185554243564
2020-10-26,268,143.4563991717438,-5.848897091420127,7.170664918534612,60.354866972795314
2020-10-27,295,150.88629058320643,1.5974490596359967,11.431044097256603,60.106583979675925
2020-10-28,250,137.16116844482423,-12.112420535641599,1.3249033579288323,62.02325347271938
2020-10-29,281,151.87480741344737,2.617570847307572,8.19553840663292,53.96001386814231
