fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space2_time2,2,2,600,74,era5_t2m,0.06837281595155545,Atmospheric
space2_time2,2,2,600,74,era5_lsm,0.003227080093172686,Atmospheric
space2_time2,2,2,600,74,era5_lcc,0.01689974139028,Atmospheric
space2_time2,2,2,600,74,era5_mcc,0.010634013532564305,Atmospheric
space2_time2,2,2,600,74,era5_hcc,0.012543583501483093,Atmospheric
space2_time2,2,2,600,74,era5_tco3,0.02722885015285466,Atmospheric
space2_time2,2,2,600,74,era5_skt,0.05110029735475219,Atmospheric
space2_time2,2,2,600,74,era5_tsn,0.051285380825489744,Atmospheric
space2_time2,2,2,600,74,era5_fal,0.028331356088630473,Atmospheric
space2_time2,2,2,600,74,era5_lmlt,0.049270588241705,Atmospheric
space2_time2,2,2,600,74,era5_lict,0.06158421211867612,Atmospheric
space2_time2,2,2,600,74,era5_deg0l,0.05672259711665432,Atmospheric
space2_time2,2,2,600,74,era5_avg_sdlwrf,0.031240594381440657,Atmospheric
space2_time2,2,2,600,74,era5_avg_snlwrf,0.016682437526851016,Atmospheric
space2_time2,2,2,600,74,era5_avg_snlwrfcs,0.02420498811164591,Atmospheric
space2_time2,2,2,600,74,hour,0.05115769471118797,Time
space2_time2,2,2,600,74,latitude,0.053840286728762426,Space
space2_time2,2,2,600,74,longitude,0.09155470123588347,Space
space2_time3,2,3,626,76,era5_swvl1,0.04565175381619643,Atmospheric
space2_time3,2,3,626,76,era5_stl1,0.04550680267495272,Atmospheric
space2_time3,2,3,626,76,era5_cl,0.0021456311996452186,Atmospheric
space2_time3,2,3,626,76,era5_cvl,0.0022105654002871154,Atmospheric
space2_time3,2,3,626,76,era5_cvh,0.002978607961911442,Atmospheric
space2_time3,2,3,626,76,era5_tvl,0.0025186051414575117,Atmospheric
space2_time3,2,3,626,76,era5_tvh,0.0012469314047133084,Atmospheric
space2_time3,2,3,626,76,era5_siconc,0.00018344760198641722,Atmospheric
space2_time3,2,3,626,76,era5_asn,0.0008284153775300288,Atmospheric
space2_time3,2,3,626,76,era5_sst,0.02777323700862262,Atmospheric
space2_time3,2,3,626,76,era5_slt,0.0014308755566229646,Atmospheric
space2_time3,2,3,626,76,era5_lai_lv,0.0036134786704253735,Atmospheric
space2_time3,2,3,626,76,era5_lai_hv,0.004349425174687436,Atmospheric
space2_time3,2,3,626,76,era5_sp,0.030888608292661456,Atmospheric
space2_time3,2,3,626,76,era5_tcw,0.04371549970608062,Atmospheric
space2_time3,2,3,626,76,era5_tcwv,0.04835379164066578,Atmospheric
space2_time3,2,3,626,76,era5_msl,0.023715567568588638,Atmospheric
space2_time3,2,3,626,76,era5_t2m,0.05270974875783983,Atmospheric
space2_time3,2,3,626,76,era5_lsm,0.007105898422281546,Atmospheric
space2_time3,2,3,626,76,era5_lcc,0.01747413885653459,Atmospheric
space2_time3,2,3,626,76,era5_mcc,0.012908655164726097,Atmospheric
space2_time3,2,3,626,76,era5_hcc,0.01449761739489049,Atmospheric
space2_time3,2,3,626,76,era5_tco3,0.02663785227947936,Atmospheric
