variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
era5_blh_log1p,log1p(boundary layer height),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.06565043086924692
era5_blh_log1p,log1p(boundary layer height),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.04717277399658115
era5_blh_log1p,log1p(boundary layer height),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.02326259281743373
era5_blh_log1p,log1p(boundary layer height),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.11466663584818888
era5_sp_hpa,Surface pressure (hPa),1,0.0,901.9937213825546,515.0510661829162,1083,0.5388115610132989
era5_sp_hpa,Surface pressure (hPa),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.321958841702813
era5_sp_hpa,Surface pressure (hPa),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.1706129565674352
era5_sp_hpa,Surface pressure (hPa),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.004727416125570704
era5_sp_hpa,Surface pressure (hPa),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.028767068575830314
era5_sp_hpa,Surface pressure (hPa),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.06627971708562014
era5_sp_hpa,Surface pressure (hPa),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.10369859553101506
era5_sp_hpa,Surface pressure (hPa),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.13839306550035285
era5_sp_hpa,Surface pressure (hPa),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.05757604671391653
era5_sp_hpa,Surface pressure (hPa),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.07637652846623119
era5_sp_hpa,Surface pressure (hPa),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.24182720340313565
era5_sp_hpa,Surface pressure (hPa),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.6650831738179177
era5_msl_hpa,Mean sea-level pressure (hPa),1,0.0,901.9937213825546,515.0510661829162,1083,0.89411196389676
era5_msl_hpa,Mean sea-level pressure (hPa),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.5569205178773573
era5_msl_hpa,Mean sea-level pressure (hPa),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.14260703560109608
era5_msl_hpa,Mean sea-level pressure (hPa),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.12388749770562328
era5_msl_hpa,Mean sea-level pressure (hPa),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.25118750032281734
